Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
05/26/22,114.30,6883200,3.90,3.53,3.53,114.30,-35.77,109.74,115.55,108.11,-35.77
05/25/22,110.40,6203324,4.16,3.92,3.92,110.40,-37.96,105.89,111.94,104.97,-37.96
05/24/22,106.24,6415752,-7.04,-6.21,-6.21,106.24,-40.30,111.28,111.42,103.74,-40.30
05/23/22,113.28,6000751,0.73,0.65,0.65,113.28,-36.34,113.55,115.15,110.93,-36.34
05/20/22,112.55,6961860,-1.62,-1.42,-1.42,112.55,-36.75,115.46,116.25,108.50,-36.75
05/19/22,114.17,8926616,6.14,5.68,5.68,114.17,-35.84,108.18,116.35,107.45,-35.84
05/18/22,108.03,9718744,-9.47,-8.06,-8.06,108.03,-39.29,116.11,117.04,107.62,-39.29
05/17/22,117.50,6962904,3.06,2.67,2.67,117.50,-33.97,119.97,120.18,114.51,-33.97
05/16/22,114.44,7588370,-7.01,-5.77,-5.77,114.44,-35.69,121.00,121.07,113.25,-35.69
05/13/22,121.45,8595379,5.51,4.75,4.75,121.45,-31.75,119.96,123.29,118.82,-31.75
05/12/22,115.94,9264303,-0.21,-0.18,-0.18,115.94,-34.85,113.66,120.49,111.22,-34.85
05/11/22,116.15,13661360,0.02,0.02,0.02,116.15,-34.73,114.53,123.77,112.37,-34.73
05/10/22,116.13,13638470,-3.24,-2.71,-2.71,116.13,-34.74,122.95,123.46,113.53,-34.74
05/09/22,119.37,14430890,-16.47,-12.12,-12.12,119.37,-32.92,131.76,131.89,118.83,-32.92
05/06/22,135.84,9573058,-7.25,-5.07,-5.07,135.84,-23.66,142.70,143.11,133.04,-23.66
05/05/22,143.09,11367230,-13.09,-8.38,-8.38,143.09,-19.59,152.19,153.88,140.86,-19.59
05/04/22,156.18,20598070,11.18,7.71,7.71,156.18,-12.23,152.55,158.74,145.87,-12.23
05/03/22,145.00,16774660,-7.78,-5.09,-5.09,145.00,-18.52,154.09,154.49,141.58,-18.52
05/02/22,152.78,5945287,-0.43,-0.28,-0.28,152.78,-14.14,153.21,155.13,147.21,-14.14
04/29/22,153.21,4033057,-6.53,-4.09,-4.09,153.21,-13.90,158.88,163.24,153.00,-13.90
04/28/22,159.74,4854490,7.51,4.93,4.93,159.74,-10.23,154.01,161.26,153.66,-10.23
