Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
05/30/23,137.46,7399867,0.52,0.38,0.38,145.70,-5.44,136.80,137.72,136.02,-10.79
05/26/23,136.94,8579941,1.27,0.94,0.94,145.15,-5.80,136.11,137.60,135.63,-11.13
05/25/23,135.67,8472505,0.33,0.24,0.24,143.81,-6.67,134.82,136.27,134.58,-11.95
05/24/23,135.34,8577997,-1.25,-0.92,-0.92,143.46,-6.90,135.40,136.35,135.08,-12.17
05/23/23,136.59,9514897,-1.44,-1.04,-1.04,144.78,-6.04,137.54,139.03,136.46,-11.36
05/22/23,138.03,11402480,-1.15,-0.83,-0.83,146.31,-5.05,141.00,141.64,137.66,-10.42
05/19/23,139.18,13492240,-0.32,-0.23,-0.23,147.53,-4.26,139.79,140.49,138.13,-9.68
05/18/23,139.50,10999610,1.05,0.76,0.76,147.87,-4.04,138.27,139.73,137.76,-9.47
05/17/23,138.45,12711520,4.13,3.07,3.07,146.75,-4.76,135.90,138.59,135.46,-10.15
05/16/23,134.32,6483267,-0.91,-0.67,-0.67,142.38,-7.60,135.46,135.94,133.96,-12.83
05/15/23,135.23,7639451,1.13,0.84,0.84,143.34,-6.98,134.27,135.67,133.96,-12.24
05/12/23,134.10,9988598,-1.95,-1.43,-1.43,142.14,-7.75,136.82,136.99,133.13,-12.97
05/11/23,136.05,7057277,-0.43,-0.32,-0.32,144.21,-6.41,135.00,136.81,134.90,-11.71
05/10/23,136.48,8133416,0.07,0.05,0.05,144.67,-6.12,137.95,138.06,134.87,-11.43
05/09/23,136.41,7343573,-0.66,-0.48,-0.48,144.59,-6.16,135.93,136.95,135.21,-11.47
05/08/23,137.07,7484872,0.33,0.24,0.24,145.29,-5.71,137.49,137.97,136.48,-11.05
05/05/23,136.74,11261390,2.62,1.95,1.95,144.94,-5.94,136.44,137.88,135.91,-11.26
05/04/23,134.12,17089160,-1.86,-1.37,-1.37,142.16,-7.74,134.96,135.72,131.81,-12.96
05/03/23,135.98,12930910,-2.94,-2.12,-2.12,144.14,-6.46,138.44,138.67,135.76,-11.75
05/02/23,138.92,14113450,-2.28,-1.61,-1.61,147.25,-4.44,141.40,142.41,138.43,-9.84
05/01/23,141.20,20415760,2.96,2.14,2.14,149.67,-2.87,142.26,143.37,140.83,-8.37
04/28/23,138.24,9887262,1.19,0.87,0.87,146.53,-4.91,136.56,138.32,135.67,-10.29
04/27/23,137.05,9041092,1.82,1.35,1.35,145.27,-5.72,136.00,137.91,135.66,-11.06
04/26/23,135.23,14416150,-2.44,-1.77,-1.77,143.34,-6.98,137.62,137.81,134.00,-12.24
04/25/23,137.67,10629330,-3.06,-2.17,-2.17,145.93,-5.30,139.60,139.96,137.63,-10.66
04/24/23,140.73,7567666,0.19,0.14,0.14,149.17,-3.19,140.46,141.10,140.04,-8.67
04/21/23,140.54,11842540,-0.27,-0.19,-0.19,148.97,-3.32,139.74,141.11,138.78,-8.79
04/20/23,140.81,10586250,-0.41,-0.29,-0.29,149.26,-3.14,139.91,141.43,139.84,-8.62
04/19/23,141.22,9158112,-0.18,-0.13,-0.13,149.69,-2.86,141.23,141.50,140.40,-8.35
04/18/23,141.40,13760140,1.57,1.12,1.12,149.88,-2.73,140.27,141.78,139.03,-8.24
04/17/23,139.83,16050490,1.10,0.79,0.79,148.22,-3.81,139.95,140.06,137.66,-9.25
04/14/23,138.73,43931330,9.74,7.55,7.55,147.05,-4.57,135.15,139.12,134.90,-9.97
04/13/23,128.99,12450240,0.49,0.38,0.38,136.73,-11.27,128.46,129.04,126.83,-16.29
