Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
11/14/23,104.29,18260520,-0.55,-0.52,0.38,117.05,110.11,104.30,104.82,103.87,87.20
11/13/23,104.84,15308380,1.09,1.05,1.05,116.61,109.31,104.05,105.14,103.81,88.19
11/10/23,103.75,17831340,0.79,0.77,0.77,115.39,107.13,103.93,104.41,102.91,86.23
11/09/23,102.96,18380540,0.03,0.03,0.03,114.52,105.56,103.67,103.97,102.86,84.81
11/08/23,102.93,19184070,-1.28,-1.23,-1.23,114.48,105.50,103.73,104.90,102.89,84.76
11/07/23,104.21,20272490,-1.66,-1.57,-1.57,115.91,108.05,104.47,104.86,103.29,87.06
11/06/23,105.87,19097270,-1.91,-1.77,-1.77,117.75,111.37,108.17,108.27,105.77,90.04
11/03/23,107.78,30555550,-1.33,-1.22,-1.22,119.88,115.18,108.40,108.78,106.54,93.47
11/02/23,109.11,25212690,3.47,3.28,3.28,121.36,117.84,105.88,109.19,105.50,95.85
11/01/23,105.64,28984870,-0.21,-0.20,-0.20,117.50,110.91,106.53,107.17,105.46,89.62
10/31/23,105.85,22185150,-0.03,-0.03,-0.03,117.73,111.33,105.58,106.16,104.54,90.00
10/30/23,105.88,19379920,0.33,0.31,0.31,117.76,111.39,105.74,106.42,105.21,90.06
10/27/23,105.55,23092020,-2.05,-1.91,-1.91,117.40,110.73,108.89,109.86,104.96,89.46
10/26/23,107.60,18768290,-0.99,-0.91,-0.91,119.68,114.82,107.45,108.34,106.50,93.14
10/25/23,108.59,22047320,0.20,0.18,0.18,120.78,116.80,108.52,109.50,108.13,94.92
10/24/23,108.39,16786110,-1.06,-0.97,-0.97,120.56,116.40,109.70,109.82,108.12,94.56
10/23/23,109.45,18184950,-1.63,-1.47,-1.47,121.73,118.51,110.63,110.96,108.68,96.46
10/20/23,111.08,22445270,-1.94,-1.72,-1.72,123.55,121.77,112.92,113.32,110.79,99.39
10/19/23,113.02,20972490,0.07,0.06,0.06,125.70,125.64,112.72,113.97,111.33,102.87
10/18/23,112.95,23380270,1.56,1.40,1.40,125.63,125.50,111.82,113.39,111.70,102.75
10/17/23,111.39,19775440,1.44,1.31,1.31,123.89,122.39,109.73,111.80,109.68,99.95
10/16/23,109.95,18452000,0.08,0.07,0.07,122.29,119.51,110.50,110.68,109.13,97.36
10/13/23,109.87,30290330,3.40,3.19,3.19,122.20,119.35,108.03,110.20,107.84,97.22
10/12/23,106.47,31182960,-0.02,-0.02,-0.02,118.42,112.56,107.59,107.84,106.09,91.11
10/11/23,106.49,57939020,-3.96,-3.59,-3.59,118.44,112.60,106.96,107.17,104.83,91.15
